epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,454.438,0.43778,0.29153,0.92878,0.99323,1,0.995,0.96627,0.31616,0.21901,0.8131,0.000123596,0.000123596,0.000123596
80,460.222,0.4106,0.27698,0.89677,0.99502,1,0.995,0.96431,0.32669,0.19949,0.81686,0.000113873,0.000113873,0.000113873
81,465.938,0.42351,0.27261,0.90653,0.99802,1,0.995,0.96848,0.33837,0.22132,0.82208,0.000104537,0.000104537,0.000104537
82,471.727,0.4279,0.27769,0.927,0.99814,1,0.995,0.97118,0.33254,0.21588,0.82059,9.55951e-05,9.55951e-05,9.55951e-05
83,477.513,0.4551,0.29899,0.92439,0.9981,1,0.995,0.96509,0.33607,0.212,0.8247,8.70577e-05,8.70577e-05,8.70577e-05
84,483.223,0.43904,0.28561,0.91617,0.99802,1,0.995,0.96455,0.33351,0.20231,0.82096,7.89327e-05,7.89327e-05,7.89327e-05
85,488.959,0.40979,0.28457,0.92024,0.99812,1,0.995,0.97032,0.32478,0.20808,0.81368,7.12282e-05,7.12282e-05,7.12282e-05
86,494.673,0.42241,0.28367,0.92064,0.99818,1,0.995,0.97393,0.32193,0.20929,0.81283,6.39518e-05,6.39518e-05,6.39518e-05
87,500.451,0.40927,0.27831,0.91932,0.99825,1,0.995,0.97538,0.30895,0.20432,0.80842,5.71106e-05,5.71106e-05,5.71106e-05
88,506.24,0.38601,0.26176,0.91396,0.99836,1,0.995,0.97581,0.2982,0.19134,0.8042,5.07115e-05,5.07115e-05,5.07115e-05
89,512.037,0.41458,0.28053,0.92507,0.99845,1,0.995,0.97657,0.28547,0.18134,0.79871,4.47606e-05,4.47606e-05,4.47606e-05
90,517.826,0.39727,0.26662,0.90846,0.99845,1,0.995,0.97147,0.28342,0.1848,0.79851,3.9264e-05,3.9264e-05,3.9264e-05
91,523.731,0.32041,0.22529,0.83636,0.99847,1,0.995,0.9695,0.28745,0.18247,0.79901,3.4227e-05,3.4227e-05,3.4227e-05
92,529.434,0.32544,0.20804,0.85586,0.99837,1,0.995,0.97286,0.29432,0.18448,0.80251,2.96546e-05,2.96546e-05,2.96546e-05
93,535.149,0.32688,0.22055,0.85871,0.99826,1,0.995,0.97529,0.29069,0.18555,0.80358,2.55513e-05,2.55513e-05,2.55513e-05
94,540.862,0.31101,0.21178,0.83864,0.99824,1,0.995,0.971,0.28618,0.18725,0.8013,2.19212e-05,2.19212e-05,2.19212e-05
95,546.571,0.31616,0.21074,0.84197,0.99822,1,0.995,0.97616,0.27764,0.18975,0.79861,1.87678e-05,1.87678e-05,1.87678e-05
96,552.279,0.31846,0.21441,0.86889,0.99821,1,0.995,0.97627,0.2774,0.18541,0.7961,1.60943e-05,1.60943e-05,1.60943e-05
97,557.994,0.33132,0.22209,0.8603,0.99821,1,0.995,0.97663,0.27993,0.18417,0.79577,1.39032e-05,1.39032e-05,1.39032e-05
98,563.994,0.30983,0.2057,0.83178,0.99819,1,0.995,0.97993,0.27872,0.18845,0.79481,1.21968e-05,1.21968e-05,1.21968e-05
99,569.767,0.30146,0.20251,0.83664,0.9982,1,0.995,0.977,0.2714,0.18909,0.79405,1.09768e-05,1.09768e-05,1.09768e-05
100,575.489,0.3247,0.21039,0.84763,0.99824,1,0.995,0.97699,0.27216,0.18804,0.79538,1.02443e-05,1.02443e-05,1.02443e-05
